text,intent
hello,greeting
hi,greeting
hey,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
greetings,greeting
hi there,greeting
hello there,greeting
good day,greeting
yo,greeting
hiya,greeting
what's up,greeting
sup,greeting
goodbye,closing
bye,closing
see you,closing
thank you,closing
thanks,closing
thanks a lot,closing
cheers,closing
much appreciated,closing
ok thanks,closing
alright thank you,closing
about us,about_dealership
who are you,about_dealership
about ks auto,about_dealership
tell me about the dealership,about_dealership
what is ks auto-sale,about_dealership
what is this place,about_dealership
who owns this place,about_founders
who started ks auto,about_founders
tell me about the founders,about_founders
who are the owners,about_founders
founders of ks auto,about_founders
who owns this,about_founders
founders,about_founders
what brands do you have,inventory_brands
do you sell honda,inventory_brands
do you sell toyota,inventory_brands
available brands,inventory_brands
what cars do you sell,inventory_brands
which vehicle brands,inventory_brands
what models available,inventory_brands
do you have nissan,inventory_brands
what vehicles in stock,inventory_brands
what cars do you have,inventory_brands
do you have honda,inventory_brands
available car brands,inventory_brands
what makes of cars do you stock,inventory_brands
brands available,inventory_brands
car brands you offer,inventory_brands
do you have any Nissan cars,inventory_brands
tell me the brands you have in stock,inventory_brands
what are the vehicle brands at your dealership,inventory_brands
how much for a car,pricing_generic
price range,pricing_generic
what are your prices,pricing_generic
how much do cars cost,pricing_generic
price of vehicles,pricing_generic
cost of cars,pricing_generic
what's the cheapest car,pricing_generic
what's the most expensive,pricing_generic
opening hours,operations_hours
when are you open,operations_hours
business hours,operations_hours
what time do you close,operations_hours
working hours,operations_hours
are you open now,operations_hours
when do you open,operations_hours
what are your hours,operations_hours
when are you open,operations_hours
opening times,operations_hours
what time do you open,operations_hours
business hours,operations_hours
are you open today,operations_hours
what are your operating hours,operations_hours
when can I visit,operations_hours
tell me your schedule,operations_hours
where are you located,operations_location
address,operations_location
location,operations_location
how to find you,operations_location
where is ks auto,operations_location
directions,operations_location
map,operations_location
showroom location,operations_location
what is your address,operations_location
where can I find you,operations_location
how to get to your dealership,operations_location
directions to KS Auto-Sale,operations_location
your physical address,operations_location
where in Nittambuwa are you,operations_location
site of your business,operations_location
can you tell me where you are situated,operations_location
test drive,services_test_drives
can i test a car,services_test_drives
try before buy,services_test_drives
drive before purchase,services_test_drives
test vehicles,services_test_drives
trade in,services_trade_ins
exchange my car,services_trade_ins
sell my old car,services_trade_ins
vehicle exchange,services_trade_ins
trade in value,services_trade_ins
swap my car,services_trade_ins
contact,contact_info
phone,contact_info
how to reach you,contact_info
phone number,contact_info
address,contact_info
where are you,contact_info
location,contact_info
how much are cars,pricing_general
price range,pricing_general
are your cars expensive,pricing_general
what are your prices like,pricing_general
how much do your cars cost,pricing_general
tell me about pricing,pricing_general
can you give me a price range,pricing_general
what's the general cost of your vehicles,pricing_general
price inquiries,pricing_general
cost of cars,pricing_general
how much are the vehicles you have,pricing_general
what is your pricing structure,pricing_general
tell me about your car prices,pricing_general
when are you open,business_hours
business hours,business_hours
opening times,business_hours
opening hours,business_hours
when are you open,business_hours
what time do you close,business_hours
working hours,business_hours
are you open now,business_hours
when do you open,business_hours
what are your hours,business_hours
are you open today,business_hours
what are your operating hours,business_hours
when can I visit,business_hours
what time do you open,business_hours
what time do you close,business_hours
can I come now,business_hours
test drive,test_drives
can I drive a car,test_drives
try before buy,test_drives
do you buy cars,trade_ins
trade ins,trade_ins
sell my car,trade_ins
who are you,about_us
about ks auto,about_us
tell me about this place,about_us
who owns this,about_us
founders,about_us
tell me about KS Auto-Sale,about_us
what is KS Auto-Sale,about_us
about your company,about_us
about KS Auto-Sale,about_us
describe KS Auto-Sale,about_us
what do you do,about_us
what kind of business is KS Auto-Sale,about_us
what does KS Auto-Sale sell,about_us
what services do you provide,about_us
about us,about_us
tell me about ks auto sale,about_us
what is ks auto sale,about_us
describe your business,about_us
what company is this,about_us
tell me about your dealership,about_us
who owns ks auto,about_us
who are the owners,about_us
who started ks auto,about_us
founders of ks auto,about_us
who runs this dealership,about_us
who are the founders,about_us
what cars do you have,inventory
available vehicles,inventory
show me cars,inventory
stock,inventory
what brands do you have,inventory
available brands,inventory
